9868920,HX519523,11/24/2014 11:55:00 PM,043XX S HONORE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,false,0924,009,12,61,14,1164790,1875649,2014,12/01/2014 12:41:33 PM,41.814387871,-87.671048895,"(41.814387871; -87.671048895)"
9869576,HX519893,11/24/2014 11:45:00 PM,095XX S DOBSON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0511,005,8,50,07,1184850,1841757,2014,12/01/2014 12:41:33 PM,41.720937248,-87.598529354,"(41.720937248; -87.598529354)"
9868892,HX519519,11/24/2014 11:44:00 PM,005XX S KOLMAR AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1131,011,24,25,18,1145966,1897141,2014,12/01/2014 12:41:33 PM,41.873742186,-87.739553135,"(41.873742186; -87.739553135)"
9868910,HX519509,11/24/2014 11:43:00 PM,013XX W WASHBURNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,1233,012,2,28,08B,1167602,1894554,2014,12/01/2014 12:41:33 PM,41.866205059,-87.660190684,"(41.866205059; -87.660190684)"
9868885,HX519515,11/24/2014 11:38:00 PM,058XX W WASHINGTON BLVD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,false,true,1513,015,29,25,26,1137281,1900109,2014,12/01/2014 12:41:33 PM,41.882047219,-87.771369383,"(41.882047219; -87.771369383)"
9868904,HX519521,11/24/2014 11:36:00 PM,015XX N KEELER AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,2534,025,30,23,18,1148134,1910137,2014,12/01/2014 12:41:33 PM,41.90936319,-87.731258398,"(41.90936319; -87.731258398)"
9868888,HX519501,11/24/2014 11:30:00 PM,030XX N HALSTED ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,1933,019,44,6,06,1170350,1920604,2014,12/01/2014 12:41:33 PM,41.937628241,-87.649340116,"(41.937628241; -87.649340116)"
9871039,HX520618,11/24/2014 11:30:00 PM,067XX N CALIFORNIA AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,2412,024,50,2,08A,1156484,1944506,2014,12/01/2014 12:41:33 PM,42.003508904,-87.69965043,"(42.003508904; -87.69965043)"
9868903,HX519505,11/24/2014 11:30:00 PM,109XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0513,005,34,49,08B,1176927,1832434,2014,12/01/2014 12:41:33 PM,41.695535543,-87.627829157,"(41.695535543; -87.627829157)"
9868911,HX519507,11/24/2014 11:25:00 PM,035XX W PALMER ST,0820,THEFT,$500 AND UNDER,TAXICAB,true,false,1413,014,26,22,06,1152580,1914438,2014,12/01/2014 12:41:33 PM,41.921078718,-87.7148117,"(41.921078718; -87.7148117)"
9868945,HX519502,11/24/2014 11:21:00 PM,008XX W FULLERTON AVE,0560,ASSAULT,SIMPLE,CTA BUS,false,false,1932,019,43,7,08A,1170417,1916206,2014,12/01/2014 12:41:33 PM,41.925558463,-87.64922285,"(41.925558463; -87.64922285)"
9868899,HX519512,11/24/2014 11:20:00 PM,015XX W 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0725,007,16,67,18,1166963,1862907,2014,12/01/2014 12:41:33 PM,41.77937609,-87.663442317,"(41.77937609; -87.663442317)"
