Id	Code	Name	District	ExpenditurePerPupil	InstructionalExpendituresPercentage	CombinedWealthRatio	NeedsIndex	FreeLunchPercentage	ReducedLunchPercentage	LimitedEnglishProficientPercentage	EthnicDiversity	GraduatePercentage	DroppedOutPercentage
1	010100010034	ALBANY HIGH SCHOOL	ALBANY CITY SCHOOL DISTRICT	19957	81.4461259	0.576	3	65	6	10	19.8158186	60.7907743	26.19439868
2	010201040001	BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL	BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT	21707	70.3293753	0.698	5	25	6	0	38.86729559	93.33333333	6.666666667
3	010306060008	BETHLEHEM CENTRAL SENIOR HIGH SCHOOL	BETHLEHEM CENTRAL SCHOOL DISTRICT	17680	68.7708002	0.829	6	5	1	0	35.5569965	93.02832244	4.793028322
4	010402060001	RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL	RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT	20355	72.763201	0.655	5	26	5	1	35.01237876	92	6.857142857
5	010500010007	COHOES HIGH SCHOOL	COHOES CITY SCHOOL DISTRICT	18875	70.9411053	0.466	3	43	10	1	31.36080356	83.56164384	13.01369863
6	010601060008	COLONIE CENTRAL HIGH SCHOOL	SOUTH COLONIE CENTRAL SCHOOL DISTRICT	18074	78.2235527	0.828	5	15	5	1	28.807985	91.05145414	5.369127517
7	010623060010	SHAKER HIGH SCHOOL	NORTH COLONIE CSD	16991	74.7940986	0.996	6	7	3	1	30.32270876	94.00749064	1.498127341
8	010701030001	HEATLY SCHOOL	GREEN ISLAND UNION FREE SCHOOL DISTRICT	20165	66.5519853	0.777	3	41	15	0	33.08574718	83.33333333	12.5
9	010802060005	GUILDERLAND HIGH SCHOOL	GUILDERLAND CENTRAL SCHOOL DISTRICT	17628	73.7650676	0.866	6	8	3	1	32.60470314	94.48621554	3.258145363
10	011003060002	CLAYTON A BOUTON HIGH SCHOOL	VOORHEESVILLE CENTRAL SCHOOL DISTRICT	18268	72.8220017	0.954	6	5	3	0	37.3385413	96.51162791	2.325581395
11	011200010010	WATERVLIET JUNIOR-SENIOR HIGH SCHOOL	WATERVLIET CITY SCHOOL DISTRICT	16899	75.1021176	0.424	3	51	13	2	26.21958555	74.22680412	18.55670103
12	020101040002	ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL	ALFRED-ALMOND CENTRAL SCHOOL DISTRICT	17054	65.6125102	0.437	5	23	8	0	37.91393763	93.47826087	6.52173913
13	020601040001	ANDOVER SCHOOL	ANDOVER CENTRAL SCHOOL DISTRICT	21162	65.6505973	0.382	4	40	16	0	39.36326545	96.42857143	3.571428571
14	020702040001	GENESEE VALLEY CENTRAL SCHOOL	GENESEE VALLEY CENTRAL SCHOOL DISTRICT	21148	65.1491913	0.339	4	39	9	0	38.3062223	84.61538462	5.128205128
15	020801040001	BELFAST SCHOOL	BELFAST CENTRAL SCHOOL DISTRICT	24018	62.4700049	0.32	4	38	13	0	38.88272967	88.23529412	5.882352941
16	021102040001	CANASERAGA SCHOOL	CANASERAGA CENTRAL SCHOOL DISTRICT	24320	68.4393576	0.38	4	31	6	0	40.33691444	100	0
17	021601040004	FRIENDSHIP CENTRAL SCHOOL	FRIENDSHIP CENTRAL SCHOOL DISTRICT	22018	64.98293	0.216	4	55	7	0	38.40659666	93.5483871	3.225806452
18	022001040001	FILLMORE CENTRAL SCHOOL	FILLMORE CENTRAL SCHOOL DISTRICT	19499	67.8006033	0.291	4	37	11	0	39.35818424	87.5	6.25
19	022101040001	WHITESVILLE CENTRAL SCHOOL	WHITESVILLE CENTRAL SCHOOL DISTRICT	23403	63.6642665	0.315	4	37	11	0	40.33691444	100	0
20	022302040001	CUBA-RUSHFORD HIGH SCHOOL	CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT	21082	70.6014236	0.445	4	29	7	0	37.90338595	87.87878788	10.60606061
21	022401040003	SCIO CENTRAL SCHOOL	SCIO CENTRAL SCHOOL DISTRICT	24232	67.6343677	0.3	4	44	20	0	38.94996791	92.85714286	7.142857143
22	022601060004	WELLSVILLE SENIOR HIGH SCHOOL	WELLSVILLE CENTRAL SCHOOL DISTRICT	19951	65.0457971	0.394	4	27	11	0	39.36326545	79.59183673	12.24489796
23	022902040001	BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL	BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT	20081	61.6144687	0.277	4	38	15	0	39.92868643	85.71428571	5.357142857
24	030101060003	CHENANGO FORKS HIGH SCHOOL	CHENANGO FORKS CENTRAL SCHOOL DISTRICT	17866	69.839785	0.436	5	21	8	0	38.87244097	97.24770642	1.834862385
25	030200010021	BINGHAMTON HIGH SCHOOL	BINGHAMTON CITY SCHOOL DISTRICT	17760	78.3350651	0.404	3	56	7	2	21.19197961	72.35576923	21.875
26	030501040003	HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL	HARPURSVILLE CENTRAL SCHOOL DISTRICT	19143	81.3833611	0.364	4	29	14	0	38.87244097	94.33962264	5.660377358
27	030601060006	SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL	SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT	21837	72.3424056	0.477	5	25	9	0	37.81754443	93.38235294	5.882352941
28	030701060001	CHENANGO VALLEY HIGH SCHOOL	CHENANGO VALLEY CENTRAL SCHOOL DISTRICT	18204	73.8302439	0.51	4	23	9	0	37.40944622	93.15068493	5.479452055
29	031101060006	MAINE-ENDWELL SENIOR HIGH SCHOOL	MAINE-ENDWELL CENTRAL SCHOOL DISTRICT	18555	68.1051733	0.471	5	17	7	1	37.40944622	94.58128079	2.463054187
30	031301040003	DEPOSIT MIDDLE-SENIOR HIGH SCHOOL	DEPOSIT CENTRAL SCHOOL DISTRICT	23183	75.5015133	0.637	4	45	16	0	37.91393763	90.69767442	9.302325581
31	031401060004	WHITNEY POINT SENIOR HIGH SCHOOL	WHITNEY POINT CENTRAL SCHOOL DISTRICT	20455	70.0574902	0.351	4	37	10	0	38.86729559	81.30841121	7.476635514
32	031501060012	UNION-ENDICOTT HIGH SCHOOL	UNION-ENDICOTT CENTRAL SCHOOL DISTRICT	16336	73.7193025	0.506	5	30	7	0	31.11055555	89.44099379	4.658385093
33	031502060006	JOHNSON CITY SENIOR HIGH SCHOOL	JOHNSON CITY CENTRAL SCHOOL DISTRICT	17622	73.5525717	0.462	3	48	8	2	25.87212142	89.38547486	6.703910615
34	031601060051	VESTAL SENIOR HIGH SCHOOL	VESTAL CENTRAL SCHOOL DISTRICT	18667	73.6513161	0.716	5	10	3	1	34.54079713	97.33333333	0.666666667
35	031701060007	WINDSOR CENTRAL HIGH SCHOOL	WINDSOR CENTRAL SCHOOL DISTRICT	18285	71.3388438	0.415	5	25	11	0	38.38576125	91.61290323	7.741935484
36	040204040001	WEST VALLEY CENTRAL SCHOOL	WEST VALLEY CENTRAL SCHOOL DISTRICT	24484	66.12219	0.487	5	29	13	0	38.94996791	91.66666667	5.555555556
37	040302060001	ALLEGANY-LIMESTONE HIGH SCHOOL	ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT	17885	68.0305588	0.462	5	18	8	1	36.91973275	83.50515464	10.30927835
38	040901040002	ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL	ELLICOTTVILLE CENTRAL SCHOOL DISTRICT	17899	70.9706526	1.136	5	27	8	0	37.48466353	95.83333333	4.166666667
39	041101040002	FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL	FRANKLINVILLE CENTRAL SCHOOL DISTRICT	25283	63.9760491	0.355	4	36	13	0	40.33691444	84.48275862	15.51724138
40	041401040001	HINSDALE CENTRAL SCHOOL	HINSDALE CENTRAL SCHOOL DISTRICT	20252	65.1745566	0.395	4	36	15	0	37.32246866	70.37037037	29.62962963
41	042302040003	CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL	CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT	22808	61.2650307	0.402	5	29	11	0	37.81225551	86.9047619	8.333333333
42	042400010013	OLEAN SENIOR HIGH SCHOOL	OLEAN CITY SCHOOL DISTRICT	16249	75.4194704	0.387	3	34	9	0	33.0434058	80.83832335	11.37724551
43	042801060006	GOWANDA HIGH SCHOOL	GOWANDA CENTRAL SCHOOL DISTRICT	20647	69.5316092	0.342	4	35	11	0	28.37428413	79.41176471	19.60784314
44	042901040002	PORTVILLE JUNIOR-SENIOR HIGH SCHOOL	PORTVILLE CENTRAL SCHOOL DISTRICT	16122	64.9533935	0.376	5	21	12	0	38.87244097	88.76404494	5.617977528
45	043001040002	RANDOLPH SENIOR HIGH SCHOOL	RANDOLPH CENTRAL SCHOOL DISTRICT	19145	66.9146915	0.422	4	30	11	0	37.97762499	87.95180723	4.819277108
46	043200050002	SALAMANCA JUNIOR/SENIOR HIGH SCHOOL	SALAMANCA CITY SCHOOL DISTRICT	18920	70.4496739	0.202	4	47	7	0	24.99333244	66.01941748	19.41747573
47	043501060006	PIONEER SENIOR HIGH SCHOOL	YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT	18694	74.1898654	0.403	4	30	16	0	38.87244097	84.29319372	12.56544503
48	050100010013	AUBURN HIGH SCHOOL	AUBURN CITY SCHOOL DISTRICT	15368	77.2067339	0.476	3	31	8	0	33.22448896	79.56989247	12.3655914
49	050301040002	WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL	WEEDSPORT CENTRAL SCHOOL DISTRICT	19733	67.1793683	0.454	5	14	6	0	36.43441596	95.71428571	0
50	050401040003	CATO-MERIDIAN SENIOR HIGH SCHOOL	CATO-MERIDIAN CENTRAL SCHOOL DISTRICT	17174	65.8106836	0.396	5	25	10	0	38.87244097	95.18072289	2.409638554
51	050701040005	SOUTHERN CAYUGA  7-12 SECONDARY SCHOOL	SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT	21826	66.4315565	0.745	5	24	8	1	37.50599952	86.20689655	10.34482759
52	051101040004	PORT BYRON SENIOR HIGH SCHOOL	PORT BYRON CENTRAL SCHOOL DISTRICT	18350	72.0044696	0.39	5	26	7	0	38.38576125	86.48648649	10.81081081
53	051301040003	MORAVIA JUNIOR-SENIOR HIGH SCHOOL	MORAVIA CENTRAL SCHOOL DISTRICT	18849	68.0756234	0.559	5	29	10	0	39.36326545	88.57142857	7.142857143
54	051901040005	UNION SPRINGS MIDDLE SCHOOL HIGH SCHOOL	UNION SPRINGS CENTRAL SCHOOL DISTRICT	18631	70.9890839	0.637	5	22	7	1	37.89810901	94.87179487	2.564102564
55	060201060003	SOUTHWESTERN SENIOR HIGH SCHOOL	SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN	17145	68.7005858	0.537	5	17	4	0	37.80696585	94.87179487	3.418803419
56	060301040004	FREWSBURG JUNIOR-SENIOR HIGH SCHOOL	FREWSBURG CENTRAL SCHOOL DISTRICT	17302	68.7126321	0.347	5	22	10	0	38.86729559	95.16129032	3.225806452
57	060401040006	CASSADAGA VALLEY HIGH SCHOOL	CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT	18647	73.9597093	0.352	4	39	11	0	38.3062223	91.20879121	5.494505495
58	060503040001	CHAUTAUQUA LAKE SECONDARY SCHOOL	CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT	23475	68.0775961	1.216	5	15	4	0	38.86729559	94.44444444	5.555555556
59	060601040003	PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL	PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON)	24556	64.2264591	0.33	4	34	9	0	38.38576125	85	15
60	060701040003	CLYMER CENTRAL SCHOOL	CLYMER CENTRAL SCHOOL DISTRICT	22113	66.2729965	0.601	5	32	8	0	37.89810901	88.23529412	2.941176471
61	060800010009	DUNKIRK SENIOR HIGH SCHOOL	DUNKIRK CITY SCHOOL DISTRICT	19769	77.0100712	0.328	3	58	7	9	22.24110309	77.48344371	16.55629139
62	061001040005	MAPLE GROVE JUNIOR/SENIOR HIGH SCHOOL	BEMUS POINT CENTRAL SCHOOL DISTRICT	16702	67.2565082	0.794	5	11	7	0	38.94996791	95.94594595	4.054054054
63	061101040007	FALCONER MIDDLE/HIGH SCHOOL	FALCONER CENTRAL SCHOOL DISTRICT	15594	72.7561503	0.374	5	31	9	0	38.38576125	89.62264151	8.490566038
